n_estimators,learning_rate,max_depth,num_leaves,mean_f1,std_f1
200,0.02,5,15,0.5544894215482451,0.06318786743578418
200,0.02,5,31,0.5542569636243432,0.06386973774018792
200,0.02,6,15,0.5123680583898416,0.0657572258244697
200,0.02,6,31,0.5209530791788857,0.05628276534922027
200,0.02,7,15,0.5266529168281477,0.06944425635077954
200,0.02,7,31,0.5205799714521824,0.08415560493317155
200,0.03,5,15,0.5766904277174023,0.06127328281143326
200,0.03,5,31,0.5608819140637812,0.06507226906115607
200,0.03,6,15,0.540927203415211,0.050171054977608785
200,0.03,6,31,0.5521613117138943,0.05281566329305823
200,0.03,7,15,0.5448032660267019,0.06541174312677428
200,0.03,7,31,0.5498995866289099,0.059937800094215954
200,0.05,5,15,0.5307970824368998,0.037531309749156666
200,0.05,5,31,0.5312846194390275,0.06448539946737476
200,0.05,6,15,0.573771730914588,0.06100873679961033
200,0.05,6,31,0.5244488304670676,0.05814524497618011
200,0.05,7,15,0.5292966075133841,0.07271816155139119
200,0.05,7,31,0.5258473622489964,0.07478069764930456
300,0.02,5,15,0.5559647324422522,0.05734366014711092
300,0.02,5,31,0.5532987080069686,0.06344057589483629
300,0.02,6,15,0.5529013914052346,0.056377577301904847
300,0.02,6,31,0.5444979585147367,0.06189146349758213
300,0.02,7,15,0.5451491113527547,0.07826345971523858
300,0.02,7,31,0.5533570919458304,0.0916332867648149
300,0.03,5,15,0.5789636592915282,0.06993667510616244
300,0.03,5,31,0.5351086279265743,0.055402721533948374
300,0.03,6,15,0.5379780696528871,0.06477282524074358
300,0.03,6,31,0.5327327419451049,0.06664970590148961
300,0.03,7,15,0.5423157894736843,0.04971898871995667
300,0.03,7,31,0.5442559411329069,0.05960859771175138
300,0.05,5,15,0.49913261818142923,0.058302767523976846
300,0.05,5,31,0.5160154173312068,0.06107043083649235
300,0.05,6,15,0.5644305846129555,0.046175067967990036
300,0.05,6,31,0.4848980945351409,0.06467410647528933
300,0.05,7,15,0.5470871865990292,0.09216603523130827
300,0.05,7,31,0.5015547911889375,0.09873689361413308
500,0.02,5,15,0.5565478631644044,0.04574636268201027
500,0.02,5,31,0.5550005819766753,0.05945495656111081
500,0.02,6,15,0.5312083288862446,0.06376022251011117
500,0.02,6,31,0.5329020013802623,0.05588436659281956
500,0.02,7,15,0.5655923058878723,0.07029218233256591
500,0.02,7,31,0.5194883561343189,0.07395265716997412
500,0.03,5,15,0.5370013055727341,0.07528444924752309
500,0.03,5,31,0.5132281710309062,0.09351874032918385
500,0.03,6,15,0.5283097581217324,0.07348003720255487
500,0.03,6,31,0.5280284609008014,0.09624084949974164
500,0.03,7,15,0.5053453650533224,0.08733311329741819
500,0.03,7,31,0.5021275115442666,0.10235381605637053
500,0.05,5,15,0.49097244145123753,0.0629059131615704
500,0.05,5,31,0.5238564700276724,0.08120529002353043
500,0.05,6,15,0.5199971412235562,0.06492822453952875
500,0.05,6,31,0.48893313626161394,0.08070359371963123
500,0.05,7,15,0.5416624978126383,0.09232845241513125
500,0.05,7,31,0.484893744331104,0.09583778523780927
